Index,Filename,Directory,IMNO_1,ModificationTime,FileSize_Mo,CreationTime,CreationTime_ISO8601,dir_path,SIMPLE,BITPIX,NAXIS,NAXIS1,NAXIS2,EXTEND,BZERO,BSCALE,ADD_COMM,IMG_SIZE,SOFT_VER,DATE,EXPTIME,EMGAIN,GAIN1,VSS,IMNO,IMBURST,SHUTTER,ROS,OFFSET,TEMPDATE,TEMPTIME,TEMPA,TEMPB,TEMPC,TEMPD,OBSTYPE,median_physical,mean_physical,Col2ColDiff_pre_scan,Line2lineDiff_pre_scan,SaturatedPixels,median_pre_scan,mean_pre_scan,std_pre_scan,stdXY,stdXY_Top,stdXY_Bottom,stdXY_pre_scan,BottomImage,TopImage,BottomImage_median,TopImage_median,flat,percentile_04,percentile_998,hist_bias,hist_ron,hist_gain,hist_flux,e_per_hour,FRAC5SIG,BIAS_ADU,RN_E-,GAINEM,SCIC,SMEARING,MCIC,FLUX,Path
10,image000018.fits,EXPTIME_0.0,000018,230709.0954,13.31,230709.0954,2023-07-09T09:54:08,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.8.0,2023-06-30T20:34:27,0.0,10700,0.0,0,18,20,0,2,800,06/30/23,20:34:11,32.904605,-157.353271,-162.957519,-96.076721,OBJECT,7045.236844209095,7059.035861439313,0.3131947800875423,1.7750000000005457,0.0,7037.0,7042.770746737554,122.76907345117137,206.0618775954633,225.73903864947096,174.17771317524426,122.76907345117137,68.44459834997815,-38.898979591836905,58.0,-57.0,0.00018840597930362238,6896,9081,7036.755000000036,56.84867948748026,812.0865430376995,0.01,inf,0.007293430422218876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0/image000018.fits
11,image000019.fits,EXPTIME_0.0,000019,230709.0954,13.31,230709.0954,2023-07-09T09:54:08,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.8.0,2023-06-30T20:34:36,0.0,10700,0.0,0,19,20,0,2,800,06/30/23,20:34:11,32.904605,-157.353271,-162.957519,-96.076721,OBJECT,6907.690664895948,6922.285646616541,0.08385693571835873,0.75,0.00021482277121374866,6901.0,6905.850804736588,116.5746947833362,230.83678486084796,262.9333593383192,175.94303503599497,116.5746947833362,61.52059270516747,-25.963214285714457,50.0,-50.0,0.00011260073280228494,6767,9015,6901.875000000035,51.76612130204103,803.4118163699616,0.01,inf,0.007824810580811817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0/image000019.fits
12,image000020.fits,EXPTIME_0.0,000020,230709.0954,13.31,230709.0954,2023-07-09T09:54:08,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.8.0,2023-06-30T20:34:45,0.0,10700,0.0,0,20,20,0,2,800,06/30/23,20:34:11,32.904605,-157.353271,-162.957519,-96.076721,OBJECT,6788.022227758453,6802.323900107412,-0.2564040599318105,-1.1862499999997453,0.0,6782.0,6787.040267037216,115.74320606411932,207.4090910626217,275.7475913946938,179.1767596845072,115.74320606411932,54.87416630481948,-19.05367346938783,43.0,-44.0,0.00013947477639973113,6654,8883,6771.385000000031,923.1061888256686,1200.0,0.01,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0/image000020.fits
13,image000021.fits,EXPTIME_0.0,000021,230709.0954,13.31,230709.0954,2023-07-09T09:54:08,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.8.0,2023-06-30T20:34:54,0.0,10700,0.0,0,21,20,0,2,800,06/30/23,20:34:11,32.904605,-157.353271,-162.957519,-96.076721,OBJECT,6684.8859672330145,6699.042468850698,-0.012324794586675125,-0.2687500000001819,0.0,6680.0,6684.651775012083,108.61883647922743,203.32393702327266,206.91948896116756,176.92947700547577,108.61883647922743,47.68902084237925,-19.357908163265165,37.0,-37.0,9.675712832205271e-05,6559,8765,6680.2350000000315,372.8656744855767,2622.6252308689404,0.01,inf,2.2919855726422805e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0/image000021.fits
14,image000022.fits,EXPTIME_0.0,000022,230709.0954,13.31,230709.0954,2023-07-09T09:54:08,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.8.0,2023-06-30T20:35:03,0.0,10700,0.0,0,22,20,0,2,800,06/30/23,20:34:11,32.904605,-157.353271,-162.957519,-96.076721,OBJECT,6598.117551418258,6613.121123523093,-0.09569840502626903,-0.4149999999999636,0.0005370569280343716,6594.0,6598.554838086032,109.68010252693675,258.584595627832,240.04455987749546,364.749616313505,109.68010252693675,45.78711680416836,-9.224489795918089,31.0,-31.0,5.982114098352817e-05,6477,8699,6589.445000000031,43.79144900977998,770.6688534734836,0.01,inf,0.008833503834607521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0/image000022.fits
15,image000023.fits,EXPTIME_0.0,000023,230709.0954,13.31,230709.0954,2023-07-09T09:54:08,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.8.0,2023-06-30T20:35:12,0.0,10700,0.0,0,23,20,0,2,800,06/30/23,20:35:10,32.900474,-157.366943,-162.961364,-96.083221,OBJECT,6524.739159787481,6538.575090225564,0.3334944417601946,-0.8125,0.0,6521.0,6525.939817544708,109.3122850550613,199.0249600216494,226.18149932940548,167.4070136079878,109.3122850550613,36.38816543638768,-7.521989795918671,26.0,-26.0,7.573666266249467e-05,6409,8531,6521.445000000031,41.819036436042246,722.9981298836663,0.01,inf,0.008709322362157518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0/image000023.fits
16,image000024.fits,EXPTIME_0.0,000024,230709.0954,13.31,230709.0954,2023-07-09T09:54:08,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.8.0,2023-06-30T20:35:21,0.0,10700,0.0,0,24,20,0,2,800,06/30/23,20:35:10,32.900474,-157.366943,-162.961364,-96.083221,OBJECT,6464.286964307496,6478.713904940923,0.40430159497373097,-0.6274999999995998,0.0006444683136412459,6461.0,6465.919590381827,108.46513344837737,255.63642282413866,216.79846687765428,160.7516674897664,108.46513344837737,31.679450716456813,-3.3544387755100615,21.0,-21.0,4.5906670040972186e-05,6351,8481,6463.385000000031,40.98219743852996,724.3903678049118,0.01,inf,0.008745851906668605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0/image000024.fits
17,image000025.fits,EXPTIME_0.0,000025,230709.0954,13.31,230709.0954,2023-07-09T09:54:08,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.8.0,2023-06-30T20:35:30,0.0,10700,0.0,0,25,20,0,2,800,06/30/23,20:35:10,32.900474,-157.366943,-162.961364,-96.083221,OBJECT,6413.74921299484,6427.902476369495,0.10802319961294415,-0.5437499999998181,0.0002685284640171858,6411.0,6415.867312711454,109.64112640343211,223.4583212096169,254.93224485515518,161.85859022410108,109.64112640343211,28.00668258792848,5.063265306122048,18.0,-18.0,4.0053173537530704e-05,6304,8444,6408.625000000029,39.8489642902811,727.3680005485207,0.01,inf,0.009214640767582095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0/image000025.fits
18,image000026.fits,EXPTIME_0.0,000026,230709.0954,13.31,230709.0954,2023-07-09T09:54:08,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.8.0,2023-06-30T20:35:39,0.0,10700,0.0,0,26,20,0,2,800,06/30/23,20:35:10,32.900474,-157.366943,-162.961364,-96.083221,OBJECT,6371.649041268714,6385.523309881847,0.15079748670814297,0.7012500000000728,0.0,6369.0,6373.537880618656,103.57482984552048,197.5076319730048,213.57111753411417,162.27088646101012,103.57482984552048,25.065065132435848,3.6603571428568102,15.0,-15.0,5.1269871811671743e-05,6262,8397,6362.775000000027,40.17522550536745,696.4253733022796,0.01,inf,0.009014265529677132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0/image000026.fits
19,image000027.fits,EXPTIME_0.0,000027,230709.0954,13.31,230709.0954,2023-07-09T09:54:08,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0,True,16,2,3216,2069,True,32768,1,,"3216,2069",4.8.0,2023-06-30T20:35:48,0.0,10700,0.0,0,27,20,0,2,800,06/30/23,20:35:10,32.900474,-157.366943,-162.961364,-96.083221,OBJECT,6336.187110994228,6349.66176047261,0.04446592556814721,0.37000000000080036,0.0,6334.0,6338.470833736104,102.907083900233,190.33915609991473,238.68195002669214,162.12670858823546,102.907083900233,22.766793313069684,7.039081632653506,12.0,-13.0,5.520440288692511e-05,6230,8328,6329.775000000027,38.84823167294123,707.6932581571399,0.01,inf,0.0089874252203318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/Vincent/DS9QuickLookPlugIn/subsets/S2_hdr/EMGAIN_10700/EXPTIME_0.0/image000027.fits
